technology,dst_region,region,agent,sector,type,year,capacity,,,,
gassupply1,R2,R2,A1,gas,retrofit,2030,57.5,,,,
gassupply1,R2,R2,A1,gas,retrofit,2030,27.5,region,R2,,
gasboiler,R1,R1,A1,residential,retrofit,2035,11,sector,power,,
gasboiler,R1,R1,A1,residential,retrofit,2035,13.15,,,,
heatpump,R1,R1,A1,residential,retrofit,2035,3.85,Sum of capacity,Column Labels,,
gasboiler,R2,R2,A1,residential,retrofit,2035,11,Row Labels,gasCCGT,windturbine,Grand Total
gasboiler,R2,R2,A1,residential,retrofit,2035,13.15,2020,1,,1
heatpump,R2,R2,A1,residential,retrofit,2035,3.85,2025,6,10,16
gasCCGT,R1,R1,A1,power,retrofit,2035,5,2030,6.7556,10,16.7556
gasCCGT,R1,R1,A1,power,retrofit,2035,1.7556,2035,6.7556,10,16.7556
windturbine,R1,R1,A1,power,retrofit,2035,10,2040,6.7556,10,16.7556
gasCCGT,R2,R2,A1,power,retrofit,2035,5,2045,6.7556,10,16.7556
gasCCGT,R2,R2,A1,power,retrofit,2035,1.7556,2050,6.7556,,6.7556
windturbine,R2,R2,A1,power,retrofit,2035,10,Grand Total,40.778,50,90.778
gassupply1,R1,R1,A1,gas,retrofit,2035,50,,,,
gassupply1,R1,R1,A1,gas,retrofit,2035,27.5,,,,
gassupply1,R2,R2,A1,gas,retrofit,2035,50,,,,
gassupply1,R2,R2,A1,gas,retrofit,2035,27.5,,,,
gasboiler,R1,R1,A1,residential,retrofit,2040,13.15,,,,
gasboiler,R1,R1,A1,residential,retrofit,2040,19.415,,,,
heatpump,R1,R1,A1,residential,retrofit,2040,3.85,,,,
heatpump,R1,R1,A1,residential,retrofit,2040,0.385,,,,
gasboiler,R2,R2,A1,residential,retrofit,2040,13.15,,,,
gasboiler,R2,R2,A1,residential,retrofit,2040,19.415,,,,
heatpump,R2,R2,A1,residential,retrofit,2040,3.85,,,,
heatpump,R2,R2,A1,residential,retrofit,2040,0.385,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,5,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,1.7556,,,,
windturbine,R1,R1,A1,power,retrofit,2040,10,,,,
gasCCGT,R2,R2,A1,power,retrofit,2040,5,,,,
gasCCGT,R2,R2,A1,power,retrofit,2040,1.7556,,,,
windturbine,R2,R2,A1,power,retrofit,2040,10,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,50,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,27.5,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,25,,,,
gassupply1,R2,R2,A1,gas,retrofit,2040,50,,,,
gassupply1,R2,R2,A1,gas,retrofit,2040,27.5,,,,
gassupply1,R2,R2,A1,gas,retrofit,2040,25,,,,
gasboiler,R1,R1,A1,residential,retrofit,2045,19.415,,,,
gasboiler,R1,R1,A1,residential,retrofit,2045,16.0603,,,,
heatpump,R1,R1,A1,residential,retrofit,2045,0.385,,,,
heatpump,R1,R1,A1,residential,retrofit,2045,2.1368,,,,
gasboiler,R2,R2,A1,residential,retrofit,2045,19.415,,,,
gasboiler,R2,R2,A1,residential,retrofit,2045,16.0603,,,,
heatpump,R2,R2,A1,residential,retrofit,2045,0.385,,,,
heatpump,R2,R2,A1,residential,retrofit,2045,2.1368,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,5,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,1.7556,,,,
windturbine,R1,R1,A1,power,retrofit,2045,10,,,,
gasCCGT,R2,R2,A1,power,retrofit,2045,5,,,,
gasCCGT,R2,R2,A1,power,retrofit,2045,1.7556,,,,
windturbine,R2,R2,A1,power,retrofit,2045,10,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,50,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,27.5,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,25,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,4.3482,,,,
gassupply1,R2,R2,A1,gas,retrofit,2045,50,,,,
gassupply1,R2,R2,A1,gas,retrofit,2045,27.5,,,,
gassupply1,R2,R2,A1,gas,retrofit,2045,25,,,,
gassupply1,R2,R2,A1,gas,retrofit,2045,4.3482,,,,
gasboiler,R1,R1,A1,residential,retrofit,2050,16.0603,,,,
gasboiler,R1,R1,A1,residential,retrofit,2050,17.7924,,,,
heatpump,R1,R1,A1,residential,retrofit,2050,2.1368,,,,
heatpump,R1,R1,A1,residential,retrofit,2050,0.3186,,,,
gasboiler,R2,R2,A1,residential,retrofit,2050,16.0603,,,,
gasboiler,R2,R2,A1,residential,retrofit,2050,17.7924,,,,
heatpump,R2,R2,A1,residential,retrofit,2050,2.1368,,,,
heatpump,R2,R2,A1,residential,retrofit,2050,0.3186,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,5,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,1.7556,,,,
gasCCGT,R2,R2,A1,power,retrofit,2050,5,,,,
gasCCGT,R2,R2,A1,power,retrofit,2050,1.7556,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,50,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,27.5,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,25,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,4.3482,,,,
gassupply1,R2,R2,A1,gas,retrofit,2050,50,,,,
gassupply1,R2,R2,A1,gas,retrofit,2050,27.5,,,,
gassupply1,R2,R2,A1,gas,retrofit,2050,25,,,,
gassupply1,R2,R2,A1,gas,retrofit,2050,4.3482,,,,
